state,updated,cases,deaths,recovered,casesPerOneMillion,deathsPerOneMillion,population,extraction_date,data_source,data_type,mortality_rate,recovery_rate,processed_at
California,2025-10-16 17:25:16.153,12711918,112443,0,321721,2846,39512223,2025-10-16 22:57:40.586194,disease.sh,states,0.00884547870746177,0.0,2025-10-16 22:57:40.645106
Texas,2025-10-16 17:25:16.154,9190299,104793,0,316952,3614,28995881,2025-10-16 22:57:40.586194,disease.sh,states,0.011402566989387396,0.0,2025-10-16 22:57:40.645106
Florida,2025-10-16 17:25:16.154,8048191,95206,0,374722,4433,21477737,2025-10-16 22:57:40.586194,disease.sh,states,0.011829490627148387,0.0,2025-10-16 22:57:40.645106
New York,2025-10-16 17:25:16.154,7587861,83374,0,390050,4286,19453561,2025-10-16 22:57:40.586194,disease.sh,states,0.01098781329810865,0.0,2025-10-16 22:57:40.645106
Illinois,2025-10-16 17:25:16.154,4136659,42005,0,326446,3315,12671821,2025-10-16 22:57:40.586194,disease.sh,states,0.010154329858951391,0.0,2025-10-16 22:57:40.645106
Ohio,2025-10-16 17:25:16.154,3741277,43896,3684603,320065,3755,11689100,2025-10-16 22:57:40.586194,disease.sh,states,0.011732892271809866,0.9848516963592913,2025-10-16 22:57:40.645106
Pennsylvania,2025-10-16 17:25:16.154,3565499,51480,0,278511,4021,12801989,2025-10-16 22:57:40.586194,disease.sh,states,0.014438371739832208,0.0,2025-10-16 22:57:40.645106
North Carolina,2025-10-16 17:25:16.154,3501404,29059,0,333846,2771,10488084,2025-10-16 22:57:40.586194,disease.sh,states,0.008299242246824417,0.0,2025-10-16 22:57:40.645106
Michigan,2025-10-16 17:25:16.154,3306221,44762,0,331057,4482,9986857,2025-10-16 22:57:40.586194,disease.sh,states,0.01353871988593624,0.0,2025-10-16 22:57:40.645106
New Jersey,2025-10-16 17:25:16.154,3295020,36873,0,370969,4151,8882190,2025-10-16 22:57:40.586194,disease.sh,states,0.01119052388149389,0.0,2025-10-16 22:57:40.645106
Georgia,2025-10-16 17:25:16.154,3287483,44069,0,309631,4151,10617423,2025-10-16 22:57:40.586194,disease.sh,states,0.013405088330494789,0.0,2025-10-16 22:57:40.645106
Tennessee,2025-10-16 17:25:16.154,2729641,30729,0,399703,4500,6829174,2025-10-16 22:57:40.586194,disease.sh,states,0.011257524341112988,0.0,2025-10-16 22:57:40.645106
Arizona,2025-10-16 17:25:16.154,2607545,34402,0,358242,4726,7278717,2025-10-16 22:57:40.586194,disease.sh,states,0.013193252657192877,0.0,2025-10-16 22:57:40.645106
Massachusetts,2025-10-16 17:25:16.154,2367542,25586,0,343495,3712,6892503,2025-10-16 22:57:40.586194,disease.sh,states,0.010806988851728924,0.0,2025-10-16 22:57:40.645106
Virginia,2025-10-16 17:25:16.154,2315784,23748,0,271311,2782,8535519,2025-10-16 22:57:40.586194,disease.sh,states,0.01025484242053663,0.0,2025-10-16 22:57:40.645106
Indiana,2025-10-16 17:25:16.154,2208419,28018,0,328037,4162,6732219,2025-10-16 22:57:40.586194,disease.sh,states,0.012686904070287386,0.0,2025-10-16 22:57:40.645106
Washington,2025-10-16 17:25:16.154,2070848,17339,0,271947,2277,7614893,2025-10-16 22:57:40.586194,disease.sh,states,0.00837289844546775,0.0,2025-10-16 22:57:40.645106
Wisconsin,2025-10-16 17:25:16.154,2043838,16758,0,351028,2878,5822434,2025-10-16 22:57:40.586194,disease.sh,states,0.008199279982072942,0.0,2025-10-16 22:57:40.645106
Minnesota,2025-10-16 17:25:16.154,1900794,16458,0,337042,2918,5639632,2025-10-16 22:57:40.586194,disease.sh,states,0.008658486927042068,0.0,2025-10-16 22:57:40.645106
Colorado,2025-10-16 17:25:16.154,1874746,15552,0,325548,2701,5758736,2025-10-16 22:57:40.586194,disease.sh,states,0.008295523766952964,0.0,2025-10-16 22:57:40.645106
South Carolina,2025-10-16 17:25:16.154,1857853,20311,0,360838,3945,5148714,2025-10-16 22:57:40.586194,disease.sh,states,0.010932511883340608,0.0,2025-10-16 22:57:40.645106
Kentucky,2025-10-16 17:25:16.154,1808735,19183,0,404849,4294,4467673,2025-10-16 22:57:40.586194,disease.sh,states,0.010605754850765866,0.0,2025-10-16 22:57:40.645106
Missouri,2025-10-16 17:25:16.154,1780715,22778,0,290140,3711,6137428,2025-10-16 22:57:40.586194,disease.sh,states,0.012791491058367004,0.0,2025-10-16 22:57:40.645106
Louisiana,2025-10-16 17:25:16.154,1684058,19270,0,362257,4145,4648794,2025-10-16 22:57:40.586194,disease.sh,states,0.01144259877035114,0.0,2025-10-16 22:57:40.645106
Alabama,2025-10-16 17:25:16.154,1659936,21138,0,338542,4311,4903185,2025-10-16 22:57:40.586194,disease.sh,states,0.012734225897865941,0.0,2025-10-16 22:57:40.645106
Maryland,2025-10-16 17:25:16.154,1451442,17929,0,240079,2966,6045680,2025-10-16 22:57:40.586194,disease.sh,states,0.012352543194974377,0.0,2025-10-16 22:57:40.645106
Oklahoma,2025-10-16 17:25:16.154,1306350,16157,1288527,330139,4083,3956971,2025-10-16 22:57:40.586194,disease.sh,states,0.012368048379071458,0.98635664255368,2025-10-16 22:57:40.645106
Utah,2025-10-16 17:25:16.155,1137615,5719,0,354844,1784,3205958,2025-10-16 22:57:40.586194,disease.sh,states,0.005027184064907724,0.0,2025-10-16 22:57:40.645106
Arkansas,2025-10-16 17:25:16.155,1062606,13246,0,352112,4389,3017804,2025-10-16 22:57:40.586194,disease.sh,states,0.01246557990449894,0.0,2025-10-16 22:57:40.645106
Iowa,2025-10-16 17:25:16.155,1058274,10797,0,335420,3422,3155070,2025-10-16 22:57:40.586194,disease.sh,states,0.010202461744311964,0.0,2025-10-16 22:57:40.645106
Mississippi,2025-10-16 17:25:16.155,1000415,13474,0,336144,4527,2976149,2025-10-16 22:57:40.586194,disease.sh,states,0.013468410609597017,0.0,2025-10-16 22:57:40.645106
Oregon,2025-10-16 17:25:16.156,992925,9764,0,235417,2315,4217737,2025-10-16 22:57:40.586194,disease.sh,states,0.009833572525618752,0.0,2025-10-16 22:57:40.645106
Connecticut,2025-10-16 17:25:16.156,983652,12354,0,275897,3465,3565287,2025-10-16 22:57:40.586194,disease.sh,states,0.012559319759427114,0.0,2025-10-16 22:57:40.645106
Kansas,2025-10-16 17:25:16.156,946564,10229,934730,324910,3511,2913314,2025-10-16 22:57:40.586194,disease.sh,states,0.010806453657650195,0.9874979399174276,2025-10-16 22:57:40.645106
Nevada,2025-10-16 17:25:16.156,923059,12485,0,299679,4053,3080156,2025-10-16 22:57:40.586194,disease.sh,states,0.013525679290272886,0.0,2025-10-16 22:57:40.645106
New Mexico,2025-10-16 17:25:16.156,725653,9623,0,346072,4589,2096829,2025-10-16 22:57:40.586194,disease.sh,states,0.013261159259315402,0.0,2025-10-16 22:57:40.645106
West Virginia,2025-10-16 17:25:16.156,703856,8247,0,392745,4602,1792147,2025-10-16 22:57:40.586194,disease.sh,states,0.011716885271987451,0.0,2025-10-16 22:57:40.645106
Nebraska,2025-10-16 17:25:16.156,574399,5063,566979,296938,2617,1934408,2025-10-16 22:57:40.586194,disease.sh,states,0.008814430387239532,0.9870821502126571,2025-10-16 22:57:40.645106
Idaho,2025-10-16 17:25:16.156,525825,5482,0,294239,3068,1787065,2025-10-16 22:57:40.586194,disease.sh,states,0.01042552179907764,0.0,2025-10-16 22:57:40.645106
Rhode Island,2025-10-16 17:25:16.156,443803,4166,0,418935,3933,1059361,2025-10-16 22:57:40.586194,disease.sh,states,0.009387047856819354,0.0,2025-10-16 22:57:40.645106
Hawaii,2025-10-16 17:25:16.156,418369,2167,0,295485,1531,1415872,2025-10-16 22:57:40.586194,disease.sh,states,0.005179638070698355,0.0,2025-10-16 22:57:40.645106
New Hampshire,2025-10-16 17:25:16.156,382013,3329,0,280952,2448,1359711,2025-10-16 22:57:40.586194,disease.sh,states,0.008714363123768038,0.0,2025-10-16 22:57:40.645106
Delaware,2025-10-16 17:25:16.156,350706,3663,0,360155,3762,973764,2025-10-16 22:57:40.586194,disease.sh,states,0.01044464594275547,0.0,2025-10-16 22:57:40.645106
Maine,2025-10-16 17:25:16.156,346182,3394,0,257535,2525,1344212,2025-10-16 22:57:40.586194,disease.sh,states,0.009804091489447747,0.0,2025-10-16 22:57:40.645106
Montana,2025-10-16 17:25:16.156,333758,3712,329725,312280,3473,1068778,2025-10-16 22:57:40.586194,disease.sh,states,0.011121830787576628,0.98791639451339,2025-10-16 22:57:40.645106
North Dakota,2025-10-16 17:25:16.156,309990,2513,0,406778,3298,762062,2025-10-16 22:57:40.586194,disease.sh,states,0.008106713119778057,0.0,2025-10-16 22:57:40.645106
Alaska,2025-10-16 17:25:16.156,301513,1485,0,412159,2030,731545,2025-10-16 22:57:40.586194,disease.sh,states,0.004925160772504005,0.0,2025-10-16 22:57:40.645106
South Dakota,2025-10-16 17:25:16.156,282895,3231,0,319779,3652,884659,2025-10-16 22:57:40.586194,disease.sh,states,0.011421198677954719,0.0,2025-10-16 22:57:40.645106
Wyoming,2025-10-16 17:25:16.156,196126,2126,0,338873,3673,578759,2025-10-16 22:57:40.586194,disease.sh,states,0.010839970223223847,0.0,2025-10-16 22:57:40.645106
District Of Columbia,2025-10-16 17:25:16.156,178747,1434,0,253273,2032,705749,2025-10-16 22:57:40.586194,disease.sh,states,0.008022512265940128,0.0,2025-10-16 22:57:40.645106
Vermont,2025-10-16 17:25:16.156,155080,1139,0,248530,1825,623989,2025-10-16 22:57:40.586194,disease.sh,states,0.007344596337374259,0.0,2025-10-16 22:57:40.645106
Puerto Rico,2025-10-16 17:25:16.156,1473460,7326,0,435042,2163,3386941,2025-10-16 22:57:40.586194,disease.sh,states,0.004971970735547623,0.0,2025-10-16 22:57:40.645106
Guam,2025-10-16 17:25:16.156,61139,420,60681,0,0,0,2025-10-16 22:57:40.586194,disease.sh,states,0.006869592240632002,0.9925088732233108,2025-10-16 22:57:40.645106
United States Virgin Islands,2025-10-16 17:25:16.156,26148,133,26002,0,0,0,2025-10-16 22:57:40.586194,disease.sh,states,0.00508643108459538,0.9944163989597675,2025-10-16 22:57:40.645106
Northern Mariana Islands,2025-10-16 17:25:16.156,14341,41,0,0,0,0,2025-10-16 22:57:40.586194,disease.sh,states,0.0028589359179973504,0.0,2025-10-16 22:57:40.645106
American Samoa,2025-10-16 17:25:16.156,8359,34,0,0,0,0,2025-10-16 22:57:40.586194,disease.sh,states,0.004067472185668142,0.0,2025-10-16 22:57:40.645106
Veteran Affairs,2025-10-16 17:25:16.156,958962,26087,931580,0,0,0,2025-10-16 22:57:40.586194,disease.sh,states,0.027203371979285938,0.9714462095474065,2025-10-16 22:57:40.645106
US Military,2025-10-16 17:25:16.156,742808,689,0,0,0,0,2025-10-16 22:57:40.586194,disease.sh,states,0.0009275613617516236,0.0,2025-10-16 22:57:40.645106
Navajo Nation,2025-10-16 17:25:16.156,89106,2268,0,0,0,0,2025-10-16 22:57:40.586194,disease.sh,states,0.025452831459161,0.0,2025-10-16 22:57:40.645106
Federal Prisons,2025-10-16 17:25:16.156,71485,324,0,0,0,0,2025-10-16 22:57:40.586194,disease.sh,states,0.00453241938868294,0.0,2025-10-16 22:57:40.645106
Grand Princess Ship,2025-10-16 17:25:16.156,122,7,115,0,0,0,2025-10-16 22:57:40.586194,disease.sh,states,0.05737704918032787,0.9426229508196722,2025-10-16 22:57:40.645106
Wuhan Repatriated,2025-10-16 17:25:16.156,3,0,3,0,0,0,2025-10-16 22:57:40.586194,disease.sh,states,0.0,1.0,2025-10-16 22:57:40.645106
Diamond Princess Ship,2025-10-16 17:25:16.156,46,0,46,0,0,0,2025-10-16 22:57:40.586194,disease.sh,states,0.0,1.0,2025-10-16 22:57:40.645106
